timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1733320670479,82,Register [Post] HTTP Request,200,,Thread Group 1-41,text,true,,364,233,1,1,http://localhost:8080/api/auth/register,81,0,1
1733320670563,77,Login [Post] HTTP Request,200,,Thread Group 1-41,text,true,,465,230,2,2,http://localhost:8080/api/auth/login,77,0,0
1733320670580,78,Register [Post] HTTP Request,200,,Thread Group 1-42,text,true,,364,233,1,1,http://localhost:8080/api/auth/register,78,0,0
1733320670659,77,Login [Post] HTTP Request,200,,Thread Group 1-42,text,true,,465,230,2,2,http://localhost:8080/api/auth/login,77,0,0
1733320670681,79,Register [Post] HTTP Request,200,,Thread Group 1-43,text,true,,364,233,1,1,http://localhost:8080/api/auth/register,79,0,1
1733320670761,77,Login [Post] HTTP Request,200,,Thread Group 1-43,text,true,,465,230,2,2,http://localhost:8080/api/auth/login,77,0,0
1733320670779,78,Register [Post] HTTP Request,200,,Thread Group 1-44,text,true,,364,233,1,1,http://localhost:8080/api/auth/register,78,0,1
1733320670858,80,Login [Post] HTTP Request,200,,Thread Group 1-44,text,true,,465,230,2,2,http://localhost:8080/api/auth/login,79,0,0
1733320670880,79,Register [Post] HTTP Request,200,,Thread Group 1-45,text,true,,364,233,1,1,http://localhost:8080/api/auth/register,79,0,1
1733320670960,77,Login [Post] HTTP Request,200,,Thread Group 1-45,text,true,,465,230,2,2,http://localhost:8080/api/auth/login,77,0,0
1733320670989,87,Register [Post] HTTP Request,200,,Thread Group 1-46,text,true,,364,233,1,1,http://localhost:8080/api/auth/register,87,0,2
1733320671077,89,Login [Post] HTTP Request,200,,Thread Group 1-46,text,true,,465,230,2,2,http://localhost:8080/api/auth/login,89,0,0
1733320671080,97,Register [Post] HTTP Request,200,,Thread Group 1-47,text,true,,364,233,1,1,http://localhost:8080/api/auth/register,97,0,1
1733320671178,84,Login [Post] HTTP Request,200,,Thread Group 1-47,text,true,,465,230,2,2,http://localhost:8080/api/auth/login,84,0,0
1733320671181,86,Register [Post] HTTP Request,200,,Thread Group 1-48,text,true,,364,233,1,1,http://localhost:8080/api/auth/register,86,0,2
1733320671268,78,Login [Post] HTTP Request,200,,Thread Group 1-48,text,true,,465,230,2,2,http://localhost:8080/api/auth/login,78,0,0
